BOOK_ID,BOOK_NAME,AUTHOR,PRICE
FLB_001,THINK LIKE A MONK ,JAY SHETTY,499
FLB_002,MEMORY,WILLIAM WALKER ATKINSON,149
FLB_003,AN AUTOBIOGRAPHY,MK GANDHI,80
FLB_004,IN SEARCH OF SCHRODINGIER'S CAT,JOHN GRIBBIN,599
FLB_005,THE ULTIMATE OPTIONS TRADING,ROJI ABRAHAM,618
FLB_006,SURROUNDED BY PSYCHOPATHS,THOMAS ERIKSON ,699
FLB_007,DEVLOK-2,DEVDUTT PATTANAIK,199
FLB_008,$100 M LEADS VOL II,ALEX HORMOZI,699
FLB_009,GET EPIC SHIT DOHE,ANKUR WARIKOO,399
FLB_010,THE RICHEST MAN IN BABYLON,GEORGE S. CLASON,112
FLB_011,$100 OFFERS VOL I,ALEX HORMOZI,699
FLB_012,"THINK, ACT, AND INVEST LIKE WARREN BUFFETT",LARRY SWEDROE,1704
FLB_013,100 GREAT INNOVATION IDEAS,HOWARD WRIGHT,395
FLB_014,100 GREAT PRESENTATION IDEAS,PATRICK FORSYTH,395
FLB_015,APJ ABDUL KALAM IGNITED MINDS,A.P.J ABDUL KALAM,188
FLB_016,DON'T FORWARD THAT TEXT,AMIT SCHANDILLIA,399
FLB_017,THERMAL ENGINEERING,DR.S RAMACHANDRAN,180
FLB_018,ബെന്യാമിൻ ആടുജീവിതം,ബെന്യാമിൻ,250
FLB_019,ENGINEERING THERMODYNAMICS,DR.S RAMACHANDRAN,180
FLB_020,BRANDS AND THE BRAIN,ARVIND SAHAY,352
FLB_021,MECHANICS OF FLUID,DR.S RAMACHANDRAN,315
FLB_022,A BRIEF HISTORY OF HUMANKIND,YUVAL NOAH HARARI,499
FLB_023,MECHANICS OF FLUID,DR.S RAMACHANDRAN,315
FLB_024,A TEXTBOOK OF METROLOGY,M MAHAJON,639
FLB_025,DISCRETE MATHEMATICAL STRUCTURES,DR.ANITHA CS,449
FLB_026,"PROBABILITY, STATISTICS AND NUMERICAL",DR. K ASHOKAN,300
FLB_027,PROGRAMMING IN C,"GISHA GS, SREEDIVYA S",300
FLB_028,FUNDAMENTALS OF BUSINESS MATHEMATICS AND STATISTICS - PAPES 3,THE INSTITUTE OF COST ACCOUNTANTS OF INDIA,499
FLB_029,S5 SOLVED QUESTION PAPER (KTU) (ME),,450
FLB_030,S7 SOLVED QUESTION PAPER (KTU) (ME),,210
FLB_031,ELON MUSK,ASHLEE VANCE,699
FLB_032,WHAT IT TAKES TO BE FREE,DARIUS FOROUX,1342
FLB_033,THINK LIKE A MONK ,JAY SHETTY,499
FLB_034,ENGINEERING MECHANICS (2019 SCHEME) KTU,,300
FLB_035,MECHANICS OF SOLIDS (S3),,300
FLB_036,ENGINEERING PHYSICS B (2019),OWL BOOKS,250
FLB_037,GRAPH THEORY,DEO AND NARSINGH ,495
FLB_038,PROGRAMMING IN C,GISHA G.S,300
FLB_039,HEALTH & WELLNESS,PROF. ELBIN RAJU,395
FLB_040,"PROBABILITY, STATISTICS AND NUMERICAL",DR. K ASHOKAN,300
FLB_041,ENGINEERING THERMODYNAMICS,PK NAG,890
FLB_042,ELECTRONIC DEVICES & CIRCUITS,DAVID A BELL,699
FLB_043,THEORY OF MACHINES,RS KHURMI,759
FLB_044,PRINCIPLE OF ELECTRICAL MACHINE,VK MEHTA,525
FLB_045,STRENGTH OF MATERIALS,DR. R.K. BANSAL,799
